Time 5183ms | Count: 1 | Speaker: None (Off) | Persons: id:1 gender:None speaking:False
Time 5250ms | Count: 1 | Speaker: None (Off) | Persons: id:1 gender:None speaking:False, id:4 gender:None speaking:False
Time 5317ms | Count: 1 | Speaker: None (Off) | Persons: id:1 gender:None speaking:False
Time 5383ms | Count: 1 | Speaker: None (Off) | Persons: id:1 gender:None speaking:False, id:4 gender:None speaking:False
Time 5450ms | Count: 1 | Speaker: None (Off) | Persons: id:1 gender:None speaking:False, id:4 gender:None speaking:False
Time 5517ms | Count: 1 | Speaker: None (Off) | Persons: id:1 gender:None speaking:False, id:4 gender:None speaking:False
Time 5583ms | Count: 1 | Speaker: None (Off) | Persons: id:1 gender:None speaking:False, id:4 gender:None speaking:False
Time 5650ms | Count: 1 | Speaker: None (Off) | Persons: id:1 gender:None speaking:False
Time 5717ms | Count: 1 | Speaker: None (Off) | Persons: id:1 gender:None speaking:False, id:4 gender:None speaking:False
Time 5783ms | Count: 1 | Speaker: None (Off) | Persons: id:1 gender:None speaking:False
Time 5850ms | Count: 1 | Speaker: None (Off) | Persons: id:1 gender:None speaking:False, id:4 gender:None speaking:False
Time 5917ms | Count: 1 | Speaker: None (Off) | Persons: id:1 gender:None speaking:False, id:4 gender:None speaking:False
Time 5983ms | Count: 1 | Speaker: None (Off) | Persons: id:1 gender:None speaking:False
Time 6050ms | Count: 1 | Speaker: None (Off) | Persons: id:1 gender:None speaking:False
Time 6117ms | Count: 1 | Speaker: None (Off) | Persons: id:1 gender:None speaking:False
