seg_hash,clust_hash,AVG_SPEAKER_F1,AVG_CONV_F1,AVG_ARI,perfect_sessions,created,clus_linkage,clus_metric,clus_threshold,segm_max_chunk_size,segm_min_chunk_size,segm_min_duration_off,segm_min_duration_on,segm_offset,segm_onset,s00_eva,s00_conf,s01_eva,s01_conf,s02_eva,s02_conf,s03_eva,s03_conf,s04_eva,s04_conf,s22_eva,s22_conf,s23_eva,s23_conf,s24_eva,s24_conf,s25_eva,s25_conf,s26_eva,s26_conf,s27_eva,s27_conf,s28_eva,s28_conf,s29_eva,s29_conf,s30_eva,s30_conf,s45_eva,s45_conf,s46_eva,s46_conf,s47_eva,s47_conf,s58_eva,s58_conf,s59_eva,s59_conf,s60_eva,s60_conf,s61_eva,s61_conf,s62_eva,s62_conf,s63_eva,s63_conf,s64_eva,s64_conf,s65_eva,s65_conf,s66_eva,s66_conf,s67_eva,s67_conf,s68_eva,s68_conf,s69_eva,s69_conf,s70_eva,s70_conf,s71_eva,s71_conf,s72_eva,s72_conf,s83_eva,s83_conf,s84_eva,s84_conf,s85_eva,s85_conf,s86_eva,s86_conf,s87_eva,s87_conf,s88_eva,s88_conf,s89_eva,s89_conf,s90_eva,s90_conf,s91_eva,s91_conf,s92_eva,s92_conf,s93_eva,s93_conf,s94_eva,s94_conf,s95_eva,s95_conf,s96_eva,s96_conf,s97_eva,s97_conf,s98_eva,s98_conf,s99_eva,s99_conf,s100_eva,s100_conf,s101_eva,s101_conf,s102_eva,s102_conf,s103_eva,s103_conf,s104_eva,s104_conf,s105_eva,s105_conf,s106_eva,s106_conf
71e6b58c,35264ba4,0.7833,0.8629793071074584,0.7667745771353937,33,2026-01-28T16:20:36.344408,complete,precomputed,0.7,10,1,1.16,1.0,0.8,1.0,1,0.7826,0,0.8224,1,0.8598,1,0.9122,1,0.825,1,0.8236,1,0.8363,1,0.7845,0,0.9036,1,0.8773,1,0.7893,1,0.8187,1,0.8693,0,0.8341,1,0.9091,1,0.8499,0,0.7288,0,0.7677,0,0.788,0,0.8462,0,0.782,0,0.8061,0,0.7067,0,0.7109,1,0.7994,1,0.7185,0,0.7064,1,0.826,1,0.8576,1,0.8721,1,0.7103,1,0.8037,0,0.8167,1,0.7235,1,0.7136,0,0.7759,1,0.782,0,0.8199,0,0.8496,1,0.779,1,0.8112,0,0.7155,1,0.8473,1,0.8386,1,0.9121,1,0.7543,1,0.8407,0,0.7932,1,0.7731,1,0.771,1,0.7603,0,0.8294,0,0.8602,0,0.8225,0,0.8637,0,0.8415
741a3c8c,35264ba4,0.7833,0.8629793071074584,0.7667745771353937,33,2026-01-28T16:20:36.381391,complete,precomputed,0.7,10,1,1.08,1.0,0.8,1.0,1,0.7826,0,0.8224,1,0.8598,1,0.9122,1,0.825,1,0.8236,1,0.8363,1,0.7838,0,0.9021,1,0.8773,1,0.7893,1,0.8179,1,0.8693,0,0.839,1,0.9087,1,0.8499,0,0.729,0,0.7677,0,0.788,0,0.8505,0,0.7802,0,0.8061,0,0.7067,0,0.7108,1,0.7994,1,0.7217,0,0.7045,1,0.826,1,0.8646,1,0.8721,1,0.7103,1,0.8098,0,0.8153,1,0.7266,1,0.7136,0,0.7759,1,0.782,0,0.8199,0,0.8496,1,0.779,1,0.8112,0,0.7155,1,0.8463,1,0.8386,1,0.9121,1,0.7543,1,0.8407,0,0.7917,1,0.7731,1,0.771,1,0.7603,0,0.8294,0,0.8597,0,0.8204,0,0.8637,0,0.8415
2f7d5ca1,35264ba4,0.7794,0.863868124172746,0.7731746107093402,32,2026-01-28T16:20:36.196182,complete,precomputed,0.7,10,1,1.4,1.0,0.8,1.0,1,0.7776,0,0.8097,1,0.8555,1,0.9131,1,0.8153,1,0.8115,1,0.8287,1,0.7731,0,0.8931,1,0.8791,0,0.7619,1,0.7937,1,0.8675,0,0.8341,1,0.9091,1,0.8419,0,0.7064,0,0.7657,0,0.7822,0,0.8426,0,0.7776,0,0.8083,0,0.8468,0,0.7045,1,0.7918,1,0.7087,0,0.7085,1,0.8239,1,0.8247,1,0.8667,1,0.7087,1,0.7931,0,0.8167,1,0.7074,1,0.7039,0,0.7642,1,0.7738,0,0.8115,0,0.8513,1,0.7706,1,0.8143,0,0.7085,1,0.8289,1,0.8275,1,0.9072,1,0.7369,1,0.8379,0,0.7744,1,0.7601,1,0.7602,1,0.7459,0,0.8273,0,0.8554,0,0.8122,0,0.8504,0,0.8421
09d95221,35264ba4,0.7775,0.8599896497060362,0.7639417753895483,32,2026-01-28T16:20:36.083343,complete,precomputed,0.7,10,1,1.48,1.0,0.8,1.0,1,0.7725,0,0.8001,1,0.8561,1,0.9074,1,0.8153,1,0.8115,1,0.8287,1,0.77,0,0.8931,1,0.8798,0,0.7619,1,0.7961,1,0.8675,0,0.8163,1,0.9091,1,0.8419,0,0.7012,0,0.7657,0,0.7822,0,0.8379,0,0.7817,0,0.8094,0,0.8468,0,0.7045,1,0.7902,1,0.7046,0,0.7002,1,0.8256,1,0.8262,1,0.8667,1,0.7038,1,0.7927,0,0.8167,1,0.7033,1,0.7039,0,0.7669,1,0.7738,0,0.8115,0,0.8452,1,0.7706,1,0.816,0,0.7022,1,0.8256,1,0.8275,1,0.8981,1,0.7369,1,0.8315,0,0.7744,1,0.7601,1,0.7602,1,0.7459,0,0.8248,0,0.8488,0,0.8143,0,0.8504,0,0.8421
8c712ddf,35264ba4,0.7657,0.8567252670298888,0.764890651964552,30,2026-01-28T16:20:36.454739,complete,precomputed,0.7,10,1,1.64,1.0,0.8,1.0,1,0.7668,0,0.7957,1,0.8545,1,0.908,1,0.8153,1,0.8115,1,0.8308,1,0.761,0,0.8931,1,0.8755,0,0.7649,1,0.7905,1,0.8675,0,0.8025,1,0.9037,1,0.8344,0,0.703,0,0.7581,0,0.7763,0,0.8388,0,0.7746,0,0.8028,0,0.8468,0,0.7003,1,0.791,1,0.7046,0,0.7067,1,0.8276,1,0.8297,1,0.8667,1,0.7038,1,0.7985,0,0.8167,0,0.8417,0,0.795,0,0.7643,1,0.7632,0,0.8136,0,0.8476,1,0.7627,1,0.816,0,0.7022,1,0.8175,1,0.8181,1,0.8981,1,0.7323,1,0.8315,0,0.7744,1,0.7547,1,0.7602,1,0.7459,0,0.8261,0,0.8488,0,0.8164,0,0.8457,0,0.8421
c2f13447,35264ba4,0.7657,0.8567252670298888,0.764890651964552,30,2026-01-28T16:20:36.603605,complete,precomputed,0.7,10,1,1.56,1.0,0.8,1.0,1,0.7668,0,0.7957,1,0.8569,1,0.908,1,0.8153,1,0.8115,1,0.8308,1,0.7656,0,0.8931,1,0.8755,0,0.7619,1,0.7961,1,0.8675,0,0.8097,1,0.9037,1,0.8365,0,0.7012,0,0.7657,0,0.7763,0,0.8379,0,0.7746,0,0.8012,0,0.8468,0,0.7045,1,0.7902,1,0.7046,0,0.7118,1,0.8266,1,0.8278,1,0.8667,1,0.7038,1,0.7927,0,0.8167,0,0.8464,0,0.795,0,0.769,1,0.7738,0,0.8115,0,0.8461,1,0.7644,1,0.816,0,0.7022,1,0.8207,1,0.8181,1,0.8981,1,0.7323,1,0.8315,0,0.7744,1,0.7601,1,0.7602,1,0.7459,0,0.8261,0,0.8488,0,0.8153,0,0.8504,0,0.8421
128904fc,35264ba4,0.7542,0.852879113183735,0.7656350938854645,31,2026-01-28T16:20:36.121204,complete,precomputed,0.7,10,1,1.8,1.0,0.8,1.0,1,0.7564,0,0.7839,1,0.8442,1,0.9027,1,0.8031,1,0.8051,1,0.8308,1,0.7518,0,0.8886,1,0.8726,0,0.7649,1,0.793,1,0.8675,0,0.8025,1,0.8975,1,0.8305,1,0.9009,0,0.7603,0,0.7763,0,0.8398,0,0.7746,0,0.7917,0,0.8406,0,0.7003,1,0.7861,0,0.8189,0,0.8455,1,0.8228,1,0.8297,1,0.8667,1,0.7075,1,0.8001,0,0.8167,0,0.836,0,0.7906,0,0.7643,1,0.7582,0,0.8038,0,0.8274,1,0.7567,1,0.7942,1,0.7879,1,0.812,1,0.8181,1,0.8981,1,0.7323,1,0.8206,0,0.7602,1,0.7452,1,0.7602,1,0.741,0,0.804,0,0.8454,0,0.8174,0,0.8468,0,0.8421
38f20bf5,35264ba4,0.7497,0.8475219703265922,0.7491785112524113,29,2026-01-28T16:20:36.232929,complete,precomputed,0.7,10,1,1.72,1.0,0.8,1.0,1,0.7638,0,0.7889,1,0.8498,1,0.9027,1,0.8031,1,0.8125,1,0.8308,1,0.756,0,0.8931,1,0.8717,0,0.7649,1,0.7918,1,0.8675,0,0.8025,1,0.9037,1,0.8294,0,0.701,0,0.7603,0,0.7763,0,0.8398,0,0.7746,0,0.8028,0,0.8387,0,0.7003,1,0.7861,0,0.8177,0,0.8445,1,0.8217,1,0.8297,1,0.8667,1,0.7057,1,0.8001,0,0.8167,0,0.836,0,0.7906,0,0.7643,1,0.7632,0,0.802,0,0.8399,1,0.7627,1,0.7942,0,0.7022,1,0.812,1,0.8181,1,0.8981,1,0.7323,1,0.8289,0,0.7744,1,0.7547,1,0.7602,1,0.7459,0,0.8191,0,0.8441,0,0.8164,0,0.8457,0,0.8421
1bcb05a9,35264ba4,0.7523,0.8488280172208744,0.7658707275475043,31,2026-01-28T16:44:29.821166,complete,precomputed,0.7,10,1,1.88,1.0,0.8,1.0,1,0.7564,0,0.7773,1,0.8379,1,0.9027,1,0.8031,1,0.8072,1,0.8308,1,0.7518,0,0.8832,1,0.8726,0,0.7649,1,0.7836,1,0.8675,0,0.8025,1,0.8982,1,0.8305,1,0.9009,0,0.7603,0,0.7763,0,0.8398,0,0.7664,0,0.7917,0,0.8406,0,0.7991,1,0.7861,0,0.8124,0,0.8455,1,0.8228,1,0.8316,1,0.8667,1,0.7027,1,0.8001,0,0.8167,0,0.836,0,0.7906,0,0.7062,1,0.7528,0,0.8038,0,0.8286,1,0.741,1,0.7942,1,0.7879,1,0.812,1,0.8181,1,0.8981,1,0.7323,1,0.8206,0,0.7602,1,0.739,1,0.7529,1,0.7342,0,0.8055,0,0.8454,0,0.8113,0,0.8468,0,0.8421
7256e963,35264ba4,0.7523,0.8488280172208744,0.7658707275475043,31,2026-01-28T16:44:30.003222,complete,precomputed,0.7,10,1,1.96,1.0,0.8,1.0,1,0.7564,0,0.7773,1,0.8324,1,0.8956,1,0.8031,1,0.8072,1,0.8308,1,0.7518,0,0.8832,1,0.8696,0,0.7679,1,0.7852,1,0.8684,0,0.8025,1,0.8989,1,0.8254,1,0.8938,0,0.7626,0,0.7763,0,0.8398,0,0.7578,0,0.7917,0,0.8406,0,0.8007,1,0.7805,0,0.8124,0,0.8455,1,0.8228,1,0.8316,1,0.8667,1,0.7027,1,0.8001,0,0.8111,0,0.836,0,0.7906,0,0.7109,1,0.7528,0,0.8038,0,0.8212,1,0.741,1,0.7942,1,0.7879,1,0.812,1,0.8181,1,0.8966,1,0.7201,1,0.8206,0,0.7602,1,0.7407,1,0.7548,1,0.7205,0,0.8071,0,0.8388,0,0.8113,0,0.8468,0,0.8436
