seg_hash,clust_hash,AVG_SPEAKER_F1,AVG_CONV_F1,AVG_ARI,perfect_sessions,created,clus_linkage,clus_metric,clus_threshold,segm_max_chunk_size,segm_min_chunk_size,segm_min_duration_off,segm_min_duration_on,segm_offset,segm_onset,s00_eva,s00_conf,s01_eva,s01_conf,s02_eva,s02_conf,s03_eva,s03_conf,s04_eva,s04_conf,s22_eva,s22_conf,s23_eva,s23_conf,s24_eva,s24_conf,s25_eva,s25_conf,s26_eva,s26_conf,s27_eva,s27_conf,s28_eva,s28_conf,s29_eva,s29_conf,s30_eva,s30_conf,s45_eva,s45_conf,s46_eva,s46_conf,s47_eva,s47_conf,s58_eva,s58_conf,s59_eva,s59_conf,s60_eva,s60_conf,s61_eva,s61_conf,s62_eva,s62_conf,s63_eva,s63_conf,s64_eva,s64_conf,s65_eva,s65_conf,s66_eva,s66_conf,s67_eva,s67_conf,s68_eva,s68_conf,s69_eva,s69_conf,s70_eva,s70_conf,s71_eva,s71_conf,s72_eva,s72_conf,s83_eva,s83_conf,s84_eva,s84_conf,s85_eva,s85_conf,s86_eva,s86_conf,s87_eva,s87_conf,s88_eva,s88_conf,s89_eva,s89_conf,s90_eva,s90_conf,s91_eva,s91_conf,s92_eva,s92_conf,s93_eva,s93_conf,s94_eva,s94_conf,s95_eva,s95_conf,s96_eva,s96_conf,s97_eva,s97_conf,s98_eva,s98_conf,s99_eva,s99_conf,s100_eva,s100_conf,s101_eva,s101_conf,s102_eva,s102_conf,s103_eva,s103_conf,s104_eva,s104_conf,s105_eva,s105_conf,s106_eva,s106_conf
7446805a,35264ba4,0.7777,0.8554650076813942,0.7495732941093024,33,2026-01-28T16:23:31.605242,complete,precomputed,0.7,10,1,0.5,0.36,0.8,1.0,1,0.798,1,0.8297,1,0.8703,1,0.9202,1,0.83,1,0.8107,1,0.8241,1,0.7778,0,0.8955,1,0.8802,0,0.7706,1,0.8145,1,0.8689,0,0.8288,1,0.9063,1,0.8597,0,0.7478,0,0.785,0,0.7875,0,0.8578,0,0.7911,0,0.8055,0,0.7147,0,0.7142,0,0.7143,1,0.736,1,0.7201,1,0.8269,1,0.8638,1,0.8723,1,0.7189,1,0.8151,0,0.7082,1,0.736,1,0.7338,0,0.7663,1,0.7954,0,0.8257,0,0.8639,1,0.778,1,0.8088,0,0.7305,1,0.8519,1,0.8434,1,0.8998,1,0.7699,1,0.8422,0,0.7914,1,0.7783,1,0.7733,1,0.7808,0,0.8387,0,0.8754,0,0.8221,0,0.8717,0,0.8614
808d0b32,35264ba4,0.7777,0.8554650076813942,0.7495732941093024,33,2026-01-28T16:23:31.679598,complete,precomputed,0.7,10,1,0.5,0.2,0.8,1.0,1,0.798,1,0.8261,1,0.8703,1,0.9202,1,0.83,1,0.8093,1,0.8235,1,0.7778,0,0.894,1,0.8805,0,0.7717,1,0.8137,1,0.8682,0,0.8288,1,0.9045,1,0.8589,0,0.7478,0,0.7855,0,0.7869,0,0.8578,0,0.7911,0,0.8055,0,0.714,0,0.7144,0,0.7123,1,0.7355,1,0.7173,1,0.8263,1,0.8638,1,0.8725,1,0.7189,1,0.8151,0,0.7072,1,0.736,1,0.7338,0,0.7663,1,0.7946,0,0.8257,0,0.864,1,0.7764,1,0.8081,0,0.7305,1,0.8512,1,0.8426,1,0.8994,1,0.7699,1,0.8422,0,0.7917,1,0.7783,1,0.7736,1,0.7809,0,0.8381,0,0.8735,0,0.8223,0,0.8717,0,0.8614
a9f9497e,35264ba4,0.7777,0.8554650076813942,0.7495732941093024,33,2026-01-28T16:23:31.832507,complete,precomputed,0.7,10,1,0.5,0.28,0.8,1.0,1,0.798,1,0.8261,1,0.8703,1,0.9202,1,0.83,1,0.8108,1,0.8241,1,0.7778,0,0.894,1,0.8805,0,0.7714,1,0.8136,1,0.8689,0,0.8288,1,0.9044,1,0.8589,0,0.7478,0,0.7853,0,0.7867,0,0.8578,0,0.7911,0,0.8055,0,0.7147,0,0.7142,0,0.7133,1,0.736,1,0.7178,1,0.827,1,0.8638,1,0.8725,1,0.7189,1,0.8151,0,0.7072,1,0.736,1,0.7338,0,0.7663,1,0.7946,0,0.8257,0,0.864,1,0.777,1,0.8091,0,0.7305,1,0.8512,1,0.8426,1,0.8998,1,0.7699,1,0.8422,0,0.7917,1,0.7783,1,0.7736,1,0.7808,0,0.8389,0,0.8743,0,0.8221,0,0.8717,0,0.8614
a7cddab5,35264ba4,0.7769,0.8531239558760567,0.7434570219871589,32,2026-01-28T16:23:31.793717,complete,precomputed,0.7,10,1,0.5,1.48,0.8,1.0,1,0.8073,1,0.8385,1,0.8837,1,0.932,1,0.8459,0,0.8379,1,0.8491,1,0.8056,0,0.9077,1,0.896,1,0.8073,1,0.8403,1,0.8824,0,0.8704,1,0.9262,1,0.8784,0,0.762,0,0.7949,0,0.7007,0,0.8697,0,0.7929,0,0.8351,0,0.7367,0,0.7316,0,0.7192,1,0.7642,1,0.7466,1,0.8401,1,0.8903,1,0.8994,1,0.7277,1,0.8473,0,0.7186,1,0.7829,1,0.769,0,0.7869,1,0.8265,0,0.8257,0,0.8829,0,0.7843,1,0.8115,0,0.7206,1,0.8675,1,0.8571,1,0.9143,1,0.7869,1,0.8526,0,0.807,1,0.8016,1,0.7841,1,0.8194,0,0.8763,0,0.8849,0,0.8325,0,0.8845,0,0.7159
c5e9f0aa,35264ba4,0.7754,0.8503629668650677,0.7435346467663073,33,2026-01-28T16:23:31.905056,complete,precomputed,0.7,10,1,0.5,0.68,0.8,1.0,1,0.7971,1,0.8328,1,0.8703,1,0.9239,1,0.8309,1,0.8149,0,0.8252,1,0.7839,0,0.8973,1,0.88,0,0.7817,1,0.8182,1,0.8712,0,0.8325,1,0.9116,1,0.8614,0,0.7532,0,0.7845,0,0.7866,0,0.8594,0,0.7902,0,0.8122,0,0.7157,0,0.7143,0,0.7147,1,0.7392,1,0.7257,1,0.826,1,0.8665,1,0.872,1,0.7205,1,0.8163,0,0.7077,1,0.7406,1,0.737,0,0.7679,1,0.7974,0,0.8247,0,0.8673,1,0.7767,1,0.8111,0,0.7287,1,0.8529,1,0.8448,1,0.9015,1,0.7727,1,0.8425,0,0.7989,1,0.778,1,0.7749,1,0.7822,0,0.8406,0,0.8765,0,0.827,0,0.8725,1,0.7005
4b2ec88b,35264ba4,0.8058,0.8685805231183382,0.7562254764116235,35,2026-01-28T16:43:02.274061,complete,precomputed,0.7,10,1,0.5,1.88,0.8,1.0,1,0.8184,1,0.8438,1,0.883,1,0.9374,1,0.8634,1,0.8519,1,0.8631,1,0.8107,0,0.9136,1,0.8966,1,0.8028,1,0.8567,0,0.707,1,0.8837,1,0.9383,1,0.8864,0,0.7564,0,0.8243,0,0.7083,1,0.7048,0,0.8116,0,0.8222,0,0.7275,0,0.7389,0,0.7183,1,0.7676,1,0.7479,1,0.8471,1,0.9007,1,0.9046,1,0.7248,1,0.8542,0,0.7395,1,0.7962,1,0.7855,0,0.7828,1,0.837,0,0.8238,0,0.8805,0,0.8048,1,0.8196,0,0.7164,1,0.8823,1,0.8691,1,0.9143,1,0.795,1,0.8643,0,0.8026,1,0.8071,1,0.7913,1,0.8261,0,0.8945,0,0.8893,0,0.8472,0,0.7086,1,0.7264
e03db06e,35264ba4,0.8044,0.8650090945469097,0.7509733755712873,34,2026-01-28T16:43:02.490817,complete,precomputed,0.7,10,1,0.5,1.96,0.8,1.0,1,0.8188,1,0.8438,1,0.883,0,0.9374,1,0.8634,1,0.8568,1,0.8631,1,0.8107,0,0.9136,1,0.8973,1,0.8054,1,0.8567,0,0.707,1,0.8837,1,0.9378,1,0.8847,0,0.7546,0,0.8243,0,0.7404,1,0.7048,0,0.8099,0,0.8266,0,0.7253,0,0.7381,0,0.7223,1,0.7676,1,0.7479,1,0.8471,1,0.9026,1,0.9121,1,0.7295,1,0.853,0,0.7479,1,0.8066,1,0.7855,0,0.7905,1,0.837,0,0.8214,0,0.8795,0,0.8123,1,0.8196,0,0.7132,1,0.8925,1,0.8746,1,0.9143,1,0.795,1,0.8702,0,0.8026,1,0.8139,1,0.7924,1,0.8329,0,0.8945,0,0.8893,0,0.8673,0,0.7086,1,0.7264
328232d0,35264ba4,0.7817,0.8382059886891821,0.6983000126998089,32,2026-01-28T16:43:02.238242,complete,precomputed,0.7,10,1,0.5,2.2,0.8,1.0,1,0.8319,1,0.8496,1,0.9038,0,0.9443,0,0.8677,0,0.7207,1,0.8972,1,0.8156,0,0.9193,1,0.9214,1,0.8316,1,0.869,0,0.7144,1,0.8826,1,0.9476,1,0.9003,0,0.7731,0,0.8431,0,0.7168,1,0.7025,0,0.7097,0,0.8453,1,0.7366,0,0.7655,0,0.7049,1,0.7773,1,0.7508,1,0.8789,1,0.9163,1,0.9296,1,0.7744,1,0.8782,0,0.7612,1,0.8466,1,0.8159,0,0.7948,1,0.8485,0,0.7019,0,0.893,0,0.8101,1,0.8263,0,0.7287,1,0.8942,1,0.9045,1,0.9145,1,0.8195,1,0.8817,0,0.8079,1,0.8139,1,0.8279,1,0.8492,0,0.908,0,0.7138,0,0.8673,0,0.7131,0,0.7307
aa8c9c27,35264ba4,0.7752,0.8380363054312634,0.6943429363322465,31,2026-01-28T16:43:02.346797,complete,precomputed,0.7,10,1,0.5,2.04,0.8,1.0,1,0.8223,1,0.8507,1,0.8971,0,0.9443,0,0.8677,0,0.7207,1,0.8911,1,0.8097,0,0.9193,1,0.9222,1,0.8025,1,0.8623,0,0.7144,1,0.8837,1,0.9439,1,0.8987,0,0.7771,0,0.8438,0,0.7176,1,0.7048,0,0.806,0,0.8233,0,0.7293,0,0.7568,0,0.7085,1,0.7773,1,0.7576,1,0.8789,1,0.9162,1,0.9291,1,0.7554,1,0.8683,0,0.7635,1,0.8235,1,0.8137,0,0.7966,1,0.8425,0,0.7045,0,0.8861,0,0.8101,1,0.8263,0,0.7027,1,0.8914,1,0.8931,1,0.9143,1,0.8132,1,0.8758,0,0.8105,1,0.8139,1,0.8197,1,0.8492,0,0.9089,0,0.7138,0,0.8673,0,0.7131,0,0.7307
b4aa27c1,35264ba4,0.7749,0.8292774172606105,0.680442869842666,31,2026-01-28T16:43:02.382634,complete,precomputed,0.7,10,1,0.5,2.12,0.8,1.0,1,0.8245,1,0.8507,1,0.9038,0,0.9443,0,0.8677,0,0.7207,1,0.8911,1,0.8156,0,0.9193,1,0.9222,1,0.8167,1,0.869,0,0.7144,1,0.8837,1,0.9476,0,0.7022,0,0.7731,0,0.8438,0,0.7168,1,0.7048,0,0.7013,0,0.8453,1,0.7304,0,0.7568,0,0.7049,1,0.7773,1,0.7543,1,0.8789,1,0.9162,1,0.9296,1,0.7554,1,0.8782,0,0.7612,1,0.8406,1,0.8149,0,0.7966,1,0.8485,0,0.7019,0,0.8851,0,0.8101,1,0.8263,0,0.7155,1,0.8942,1,0.8991,1,0.9145,1,0.8132,1,0.8802,0,0.8079,1,0.8139,1,0.8279,1,0.8492,0,0.908,0,0.7138,0,0.8673,0,0.7131,0,0.7307
bb2884e1,35264ba4,0.7749,0.8292774172606105,0.680442869842666,31,2026-01-28T16:43:02.418688,complete,precomputed,0.7,10,1,0.5,2.28,0.8,1.0,1,0.8319,1,0.8496,1,0.9038,0,0.9443,0,0.8677,0,0.7207,1,0.8972,1,0.8156,0,0.9193,1,0.9214,1,0.8301,1,0.869,0,0.7144,1,0.8826,1,0.9476,0,0.7037,0,0.771,0,0.8431,0,0.7242,1,0.7025,0,0.7097,0,0.8415,1,0.7429,0,0.7723,0,0.701,1,0.7773,1,0.7574,1,0.887,1,0.9163,1,0.9296,1,0.7744,1,0.877,0,0.7588,1,0.8466,1,0.8159,0,0.793,1,0.8485,0,0.7019,0,0.9028,0,0.8101,1,0.8263,0,0.7287,1,0.8942,1,0.9045,1,0.9145,1,0.8195,1,0.8817,0,0.8079,1,0.8211,1,0.8279,1,0.8573,0,0.9175,0,0.7118,0,0.8673,0,0.7131,0,0.7307
8c11a9b1,35264ba4,0.7705,0.8234100703218351,0.6637169487049802,31,2026-01-28T16:43:02.310250,complete,precomputed,0.7,10,1,0.5,2.36,0.8,1.0,1,0.8319,1,0.8563,1,0.903,0,0.9443,0,0.876,0,0.7207,1,0.8972,1,0.8156,0,0.9286,1,0.9298,1,0.8301,1,0.8727,0,0.712,1,0.8826,1,0.9471,0,0.7115,0,0.7726,0,0.7049,0,0.722,1,0.7025,0,0.7097,0,0.8451,0,0.7096,0,0.7681,1,0.8439,1,0.7773,1,0.7574,1,0.887,1,0.9163,1,0.9296,1,0.7744,1,0.8877,0,0.7561,1,0.8591,1,0.8159,0,0.793,1,0.855,0,0.7019,0,0.9028,0,0.8101,1,0.8263,0,0.7249,1,0.8942,1,0.9045,1,0.9187,1,0.8183,1,0.8817,0,0.823,1,0.8224,1,0.8369,1,0.8659,0,0.9188,0,0.7226,0,0.8673,0,0.7211,0,0.7024
d073185f,35264ba4,0.7569,0.811406359746696,0.6447756952276443,29,2026-01-28T16:43:02.454044,complete,precomputed,0.7,10,1,0.5,2.6,0.8,1.0,1,0.8317,1,0.855,1,0.9042,0,0.9479,0,0.876,0,0.7323,0,0.8975,1,0.8364,0,0.9299,1,0.9396,1,0.843,1,0.8689,0,0.7212,1,0.8919,1,0.9622,0,0.7218,0,0.794,0,0.7091,0,0.7198,1,0.7025,0,0.717,0,0.8425,0,0.7174,0,0.7608,0,0.7113,1,0.7841,1,0.7658,1,0.8962,1,0.927,1,0.9296,1,0.7744,1,0.8877,0,0.7774,1,0.8591,1,0.8351,0,0.7908,1,0.8568,0,0.8441,0,0.9049,0,0.8199,1,0.8199,0,0.7249,1,0.8995,1,0.9052,1,0.9187,1,0.8398,1,0.8817,0,0.823,1,0.8446,1,0.8565,1,0.8659,0,0.9178,0,0.7304,0,0.8739,0,0.729,0,0.7066
25047570,35264ba4,0.7533,0.8092635026038387,0.6359391709272024,29,2026-01-28T16:43:02.200687,complete,precomputed,0.7,10,1,0.5,2.52,0.8,1.0,1,0.8304,1,0.855,1,0.903,0,0.9479,0,0.876,0,0.7286,0,0.8972,1,0.8364,0,0.9299,1,0.9402,1,0.8396,1,0.8702,0,0.7212,1,0.8919,1,0.9569,0,0.7218,0,0.7851,0,0.7091,0,0.7198,1,0.7025,0,0.7069,0,0.8425,0,0.7174,0,0.7634,0,0.7113,1,0.7841,1,0.7658,1,0.887,1,0.927,1,0.9296,1,0.7744,1,0.8877,0,0.7561,1,0.8591,1,0.8351,0,0.793,1,0.8568,0,0.7005,0,0.9049,0,0.8199,1,0.8232,0,0.7249,1,0.8995,1,0.9052,1,0.9187,1,0.8253,1,0.8817,0,0.823,1,0.8373,1,0.8544,1,0.8659,0,0.9178,0,0.7391,0,0.8739,0,0.729,0,0.7066
e68eb04f,35264ba4,0.7533,0.8092635026038387,0.6359391709272024,29,2026-01-28T16:43:02.526531,complete,precomputed,0.7,10,1,0.5,2.44,0.8,1.0,1,0.8304,1,0.8563,1,0.903,0,0.9438,0,0.876,0,0.7207,0,0.8972,1,0.8223,0,0.9286,1,0.9298,1,0.8396,1,0.8715,0,0.712,1,0.8919,1,0.9466,0,0.7196,0,0.7726,0,0.7091,0,0.7198,1,0.7025,0,0.7069,0,0.8425,0,0.7096,0,0.7658,0,0.7113,1,0.7773,1,0.7658,1,0.887,1,0.9277,1,0.9296,1,0.7744,1,0.8877,0,0.7561,1,0.8591,1,0.8228,0,0.793,1,0.8568,0,0.7005,0,0.9028,0,0.8101,1,0.8232,0,0.7249,1,0.8942,1,0.9052,1,0.9187,1,0.8253,1,0.8817,0,0.823,1,0.8224,1,0.8462,1,0.8659,0,0.9188,0,0.7338,0,0.8662,0,0.7211,0,0.7024
