source_csv,variant_name,avg_conversation_clustering_f1,avg_speaker_wer,avg_joint_asr_clustering_error
evaluation_summary_session_41.csv,output_smoothing_median,1.0,0.4820333333333333,0.24101666666666666
evaluation_summary_session_42.csv,output,1.0,0.49581666666666663,0.24790833333333331
evaluation_summary_session_42.csv,output_core_fixed,1.0,0.4912,0.2456
evaluation_summary_session_42.csv,output_smoothing_ema,1.0,0.4940166666666666,0.2470083333333333
evaluation_summary_session_42.csv,output_smoothing_ma,1.0,0.48695,0.243475
evaluation_summary_session_42.csv,output_smoothing_median,1.0,0.4940166666666666,0.2470083333333333
evaluation_summary_session_43.csv,output,1.0,0.5125500000000001,0.25627500000000003
evaluation_summary_session_43.csv,output_core_fixed,1.0,0.5085666666666667,0.25428333333333336
evaluation_summary_session_43.csv,output_smoothing_ema,1.0,0.5116666666666667,0.25583333333333336
evaluation_summary_session_43.csv,output_smoothing_ma,1.0,0.5370833333333332,0.2685416666666666
evaluation_summary_session_43.csv,output_smoothing_median,1.0,0.5116666666666667,0.25583333333333336
evaluation_summary_session_44.csv,output,0.6,0.5494166666666667,0.441375
evaluation_summary_session_44.csv,output_core_fixed,0.6,0.5469166666666666,0.44012499999999993
evaluation_summary_session_44.csv,output_smoothing_ema,0.6,0.5468833333333333,0.4401083333333333
evaluation_summary_session_44.csv,output_smoothing_ma,0.6,0.54845,0.4408916666666666
evaluation_summary_session_44.csv,output_smoothing_median,0.6,0.5468833333333333,0.4401083333333333
evaluation_summary_session_48.csv,output,1.0,0.5290333333333334,0.4311833333333334
evaluation_summary_session_48.csv,output_core_fixed,1.0,0.5193333333333333,0.4263333333333333
evaluation_summary_session_48.csv,output_smoothing_ema,1.0,0.5141666666666667,0.42375
evaluation_summary_session_48.csv,output_smoothing_ma,1.0,0.5794333333333334,0.45638333333333336
evaluation_summary_session_48.csv,output_smoothing_median,1.0,0.5141666666666667,0.42375
evaluation_summary_session_49.csv,output,1.0,0.50005,0.250025
evaluation_summary_session_49.csv,output_core_fixed,1.0,0.4797333333333333,0.23986666666666664
evaluation_summary_session_49.csv,output_smoothing_ema,1.0,0.48355,0.241775
evaluation_summary_session_49.csv,output_smoothing_ma,1.0,0.4882166666666667,0.24410833333333334
evaluation_summary_session_49.csv,output_smoothing_median,1.0,0.48355,0.241775
evaluation_summary_session_50.csv,output,0.5714285714285715,0.5942000000000001,0.5114
evaluation_summary_session_50.csv,output_core_fixed,0.5714285714285715,0.5816833333333334,0.5051416666666667
evaluation_summary_session_50.csv,output_smoothing_ema,0.5714285714285715,0.5801166666666667,0.5043583333333334
evaluation_summary_session_50.csv,output_smoothing_ma,0.5714285714285715,0.6048333333333333,0.5167166666666666
evaluation_summary_session_50.csv,output_smoothing_median,0.5714285714285715,0.5801166666666667,0.5043583333333334
evaluation_summary_session_51.csv,output,1.0,0.5304833333333333,0.26524166666666665
evaluation_summary_session_51.csv,output_core_fixed,1.0,0.5237333333333334,0.2618666666666667
evaluation_summary_session_51.csv,output_smoothing_ema,1.0,0.5182666666666665,0.25913333333333327
evaluation_summary_session_51.csv,output_smoothing_ma,1.0,0.5497000000000001,0.27485000000000004
evaluation_summary_session_51.csv,output_smoothing_median,1.0,0.5182666666666665,0.25913333333333327
evaluation_summary_session_52.csv,output,0.5,0.5544666666666667,0.5550083333333334
evaluation_summary_session_52.csv,output_core_fixed,0.5,0.5438999999999999,0.5497249999999999
evaluation_summary_session_52.csv,output_smoothing_ema,0.5,0.5506000000000001,0.5530750000000001
evaluation_summary_session_52.csv,output_smoothing_ma,0.5,0.5417166666666667,0.5486333333333334
evaluation_summary_session_52.csv,output_smoothing_median,0.5,0.5506000000000001,0.5530750000000001
evaluation_summary_session_53.csv,output,1.0,0.66424,0.33212
evaluation_summary_session_53.csv,output_core_fixed,1.0,0.63554,0.31777
evaluation_summary_session_53.csv,output_smoothing_ema,1.0,0.637,0.3185
evaluation_summary_session_53.csv,output_smoothing_ma,1.0,0.6738199999999999,0.33690999999999993
evaluation_summary_session_53.csv,output_smoothing_median,1.0,0.637,0.3185
evaluation_summary_session_54.csv,output,0.6666666666666666,0.8162200000000001,0.57477
evaluation_summary_session_54.csv,output_core_fixed,0.6666666666666666,0.7858600000000001,0.55959
evaluation_summary_session_54.csv,output_smoothing_ema,0.6666666666666666,0.78876,0.56104
evaluation_summary_session_54.csv,output_smoothing_ma,0.6666666666666666,0.8023399999999998,0.5678300000000001
evaluation_summary_session_54.csv,output_smoothing_median,0.6666666666666666,0.78876,0.56104
evaluation_summary_session_55.csv,output,0.28571428571428575,0.6946399999999999,0.74732
evaluation_summary_session_55.csv,output_core_fixed,0.28571428571428575,0.68048,0.74024
evaluation_summary_session_55.csv,output_smoothing_ema,0.28571428571428575,0.66642,0.73321
evaluation_summary_session_55.csv,output_smoothing_ma,0.28571428571428575,0.7028000000000001,0.7514
evaluation_summary_session_55.csv,output_smoothing_median,0.28571428571428575,0.66642,0.73321
evaluation_summary_session_56.csv,output,1.0,0.615325,0.3076625
evaluation_summary_session_56.csv,output_core_fixed,1.0,0.58535,0.292675
evaluation_summary_session_56.csv,output_smoothing_ema,1.0,0.5837249999999999,0.29186249999999997
evaluation_summary_session_56.csv,output_smoothing_ma,1.0,0.6376000000000001,0.31880000000000003
evaluation_summary_session_56.csv,output_smoothing_median,1.0,0.5837249999999999,0.29186249999999997
evaluation_summary_session_57.csv,output,1.0,0.52548,0.26274
evaluation_summary_session_57.csv,output_core_fixed,1.0,0.5121,0.25605
evaluation_summary_session_57.csv,output_smoothing_ema,1.0,0.51404,0.25702
evaluation_summary_session_57.csv,output_smoothing_ma,1.0,0.54096,0.27048
evaluation_summary_session_57.csv,output_smoothing_median,1.0,0.51404,0.25702
